,week_number,geography_code,functional_class,congestion_pct_x,weighted_avg_tti_x,congestion_pct_y,weighted_avg_tti_y,congestion_pct_xy_pct,weighted_avg_tti_xy_pct,Road,Name,county,county names,weeknum_Friday
99,10,ca_sierra,1,0.001216667,1.0254375,0.020135185,1.046462114,0.060424906,0.979908863,Freeway,ca_sierra Freeway,sierra,Sierra,3/1/2020
100,10,ca_sierra,2,0,1.025541667,0.001875926,1.028696489,0,0.996933184,Freeway,ca_sierra Freeway,sierra,Sierra,3/1/2020
101,10,ca_sierra,3,0.391045833,1.371391667,0.390391358,1.372368866,1.00167646,0.999287947,Arterial,ca_sierra Arterial,sierra,Sierra,3/1/2020
102,10,ca_siskiyou,1,0.007266667,1.073795833,0.013630941,1.088105208,0.533100868,0.986849273,Freeway,ca_siskiyou Freeway,siskiyou,Siskiyou,3/1/2020
103,10,ca_siskiyou,2,0.001283333,1.087808333,0.005791435,1.099415818,0.22159159,0.989442134,Freeway,ca_siskiyou Freeway,siskiyou,Siskiyou,3/1/2020
104,10,ca_siskiyou,3,0.444679167,1.3654125,0.430692863,1.357807639,1.032473963,1.005600838,Arterial,ca_siskiyou Arterial,siskiyou,Siskiyou,3/1/2020
105,10,ca_solano,2,0.073925,1.112720833,0.071829012,1.113420332,1.029180238,0.999371757,Freeway,ca_solano Freeway,solano,Solano,3/1/2020
106,10,ca_solano,3,0.161954167,1.252758333,0.136471258,1.223836265,1.186727296,1.023632302,Arterial,ca_solano Arterial,solano,Solano,3/1/2020
107,10,ca_sonoma,2,0.1406125,1.371466667,0.117607099,1.323591049,1.195612352,1.036171004,Freeway,ca_sonoma Freeway,sonoma,Sonoma,3/1/2020
108,10,ca_sonoma,3,0.086679167,1.19265,0.080762384,1.187617014,1.073261611,1.004237887,Arterial,ca_sonoma Arterial,sonoma,Sonoma,3/1/2020
109,10,ca_stanislaus,1,0.0055875,1.076541667,0.001000579,1.068990818,5.584268363,1.00706353,Freeway,ca_stanislaus Freeway,stanislaus,Stanislaus,3/1/2020
110,10,ca_stanislaus,2,0.062329167,1.097633333,0.039609028,1.076046875,1.573610113,1.02006089,Freeway,ca_stanislaus Freeway,stanislaus,Stanislaus,3/1/2020
111,10,ca_stanislaus,3,0.105370833,1.16325,0.1015201,1.156664699,1.037930745,1.005693353,Arterial,ca_stanislaus Arterial,stanislaus,Stanislaus,3/1/2020
112,10,ca_sutter,2,0.038920833,1.053745833,0.031265779,1.04198615,1.2448381,1.011285835,Freeway,ca_sutter Freeway,sutter,Sutter,3/1/2020
113,10,ca_sutter,3,0.046016667,1.053570833,0.035347878,1.043032137,1.301822603,1.010103903,Arterial,ca_sutter Arterial,sutter,Sutter,3/1/2020
114,10,ca_tehama,1,0.000641667,1.0625875,0.000875309,1.063755594,0.733074753,0.998901915,Freeway,ca_tehama Freeway,tehama,Tehama,3/1/2020
115,10,ca_tehama,2,0.007316667,1.087829167,0.008465046,1.099273573,0.864338647,0.989589119,Freeway,ca_tehama Freeway,tehama,Tehama,3/1/2020
116,10,ca_tehama,3,0.1911375,1.224629167,0.192096528,1.224310687,0.995007574,1.00026013,Arterial,ca_tehama Arterial,tehama,Tehama,3/1/2020
117,10,ca_trinity,2,0.015008333,1.127675,0.014975347,1.131215201,1.002202694,0.996870445,Freeway,ca_trinity Freeway,trinity,Trinity,3/1/2020
118,10,ca_trinity,3,0.490258333,1.408470833,0.487851003,1.407877006,1.00493456,1.000421789,Arterial,ca_trinity Arterial,trinity,Trinity,3/1/2020
119,10,ca_tulare,2,0.003395833,1.058516667,0.003724846,1.063670718,0.911670879,0.995154468,Freeway,ca_tulare Freeway,tulare,Tulare,3/1/2020
120,10,ca_tulare,3,0.0527375,1.107558333,0.052354707,1.107955826,1.007311534,0.999641238,Arterial,ca_tulare Arterial,tulare,Tulare,3/1/2020
121,10,ca_tuolumne,2,0.005225,1.051075,0.00484784,1.064207523,1.077799707,0.98765981,Freeway,ca_tuolumne Freeway,tuolumne,Tuolumne,3/1/2020
122,10,ca_tuolumne,3,0.0219625,1.072204167,0.025912654,1.07305216,0.847558869,0.999209737,Arterial,ca_tuolumne Arterial,tuolumne,Tuolumne,3/1/2020
123,10,ca_ventura,2,0.093420833,1.102595833,0.083937577,1.103318133,1.112979865,0.999345339,Freeway,ca_ventura Freeway,ventura,Ventura,3/1/2020
124,10,ca_ventura,3,0.266520833,1.2750375,0.254070062,1.259195718,1.049005269,1.012580874,Arterial,ca_ventura Arterial,ventura,Ventura,3/1/2020
125,10,ca_yolo,1,0.015329167,1.0880125,0.014199035,1.088790818,1.079592108,0.999285154,Freeway,ca_yolo Freeway,yolo,Yolo,3/1/2020
126,10,ca_yolo,2,0.075316667,1.135825,0.074144252,1.140084105,1.015812623,0.996264219,Freeway,ca_yolo Freeway,yolo,Yolo,3/1/2020
127,10,ca_yolo,3,0.05845,1.123904167,0.060047145,1.125202276,0.973401815,0.998846332,Arterial,ca_yolo Arterial,yolo,Yolo,3/1/2020
